% Duomenys apie naudotu masinu pardavimus prekybos firmoje:
%   kaina - faktine sandorio kaina
%   rida - masinos nuvaziuotas kilometrazas
%   amzius - masinos amzius pardavimo momentu. Jei amzius virsyje 20, tai pateikiamas ne amzius, bet zymuo '>20'
%   galia - masinos variklio galia
%   markesKodas - masinos markes kodas
%   dingusios reiksmes zymimos MISSING zymeniu
"kaina";"rida";"amzius";"galia";"markesKodas"
12770.1;164110.850559981;"11";55;"qt"
15180.7;673467.350444128;"12";55;"ky"
17591.9;494773.347639264;"15";75;"ky"
19854;360467.882751469;"2";65;"qt"
5574;601594.656948206;MISSING;55;"bm"
22996.3;377599.274933091;"5";65;"ky"
33282.1;347404.826805315;"2";65;"ky"
26060.1;378620.092283643;"3";45;"ky"
19601.5;431570.782889034;"11";55;"ky"
11140.1;453157.11377348;"11";65;"bm"
15940.2;486933.769835571;"14";75;"ky"
15911.5;284423.102988161;"4";45;"qt"
5971.6;649665.467087262;"13";55;"bm"
8274.3;526546.690764332;"12";65;"qt"
20320.4;452440.380336504;"8";75;"ky"
33517.5;283975.660939478;"2";65;"ky"
9626.5;387253.341908264;"13";75;"bm"
11917.1;240368.308982034;"8";45;"qt"
21667.7;306621.497610079;"13";75;"ky"
6960.1;547228.62182659;"11";55;"bm"
12074.8;376762.301641454;"10";65;"bm"
8465.5;452333.271791579;"12";45;"bm"
21015.2;340832.834578258;"10";55;"ky"
8879.2;416929.024329777;"11";55;"qt"
25699.4;219110.867548831;"5";65;"ky"
19830.1;520762.389256633;"7";75;"ky"
8299.3;509147.181388934;"14";45;"bm"
7282.4;614588.904665234;"12";65;"qt"
11322.3;355449.141578023;"10";65;"bm"
7129.3;597780.599221048;"15";55;"bm"
6314.5;733445.529015858;"13";45;"bm"
16644.7;596036.363291961;"11";55;"ky"
16836.5;591063.301385795;"14";65;"ky"
22544;360187.531105262;"2";65;"qt"
25015.6;327670.644911449;"2";55;"qt"
4910.1;767450.911371217;"13";75;"qt"
19385.9;496388.143178549;"13";55;"ky"
10067.3;436773.866087949;"12";75;"bm"
25931.7;558201.380828909;"3";65;"ky"
18260.9;289291.28340372;"3";65;"qt"
8026.5;402313.438083757;"11";65;"bm"
18525.1;534759.720725094;"12";75;"ky"
28877.1;348535.725499635;"3";65;"ky"
7134.7;544571.156855969;"16";45;"qt"
11321.5;316931.33995006;"8";55;"qt"
9527.7;534476.665238217;"10";75;"qt"
9545.1;452765.393384548;"11";75;"bm"
10465.6;154690.585908595;"7";75;"bm"
6872.8;634794.416120375;"14";75;"bm"
15276.5;835678.993227058;"12";45;"ky"
14514.3;320510.412385106;"5";55;"qt"
18318.1;682240.418428347;"12";55;"ky"
7873.1;570665.075316558;"12";45;"bm"
MISSING;787215.827436835;"15";75;"qt"
14533.3;363817.205112676;"5";55;"qt"
10072.5;473115.750173505;"15";45;"bm"
9411.8;469789.859064588;"9";75;"qt"
5895.7;599298.997088281;"13";45;"bm"
13617.7;427397.877536549;"5";75;"bm"
13160.6;307049.898830913;"4";55;"qt"
16425.5;505779.403422113;"13";45;"ky"
10299.3;462134.013082625;"11";75;"qt"
9677.1;386707.625161625;"11";45;"qt"
20453;516953.09892961;"9";45;"ky"
22563.9;180547.452238717;"10";65;"ky"
7906.7;487575.42392971;"13";65;"bm"
17740.8;583761.523859155;"13";45;"ky"
17139.3;346490.34420811;"3";75;"bm"
23124;482938.760037964;"5";55;"ky"
17367.1;711183.183128249;"16";45;"ky"
8807.1;553626.549943799;"11";65;"bm"
8964.8;503218.702377772;"7";65;"qt"
18158;245707.700400066;"14";65;"ky"
7811;581774.813463399;"11";65;"bm"
22847.6;443651.866866519;"4";45;"ky"
10810.3;519872.737631094;"14";55;"bm"
16506.9;436867.146576721;"3";45;"bm"
10596.8;422975.297350756;"10";75;"bm"
9186.8;472640.025267087;"10";45;"bm"
21116.2;173547.741133364;"12";45;"ky"
6948.8;588861.240057374;"12";65;"bm"
6109.9;512640.859662333;"13";55;"qt"
9741.1;379388.766064014;"11";55;"qt"
24692.1;367795.42991084;"4";55;"ky"
7914.6;567993.645769158;"12";45;"bm"
19798.2;291747.69157167;"13";65;"ky"
13194.7;413076.993589126;"6";75;"qt"
6533.6;557687.832858615;"13";55;"bm"
6283.7;692374.217649704;"11";45;"qt"
6930.2;645921.511619151;"14";65;"bm"
5035;831968.232960377;"14";65;"bm"
8267.4;543210.475732669;"13";55;"bm"
6668;655171.895628469;"12";55;"qt"
17602.9;607033.884760489;"11";65;"ky"
15712.4;314195.116417121;"4";65;"qt"
9322.2;451607.849798979;"11";55;"qt"
MISSING;704070.964736148;"16";55;"bm"
14840.1;340811.597806106;"4";75;"bm"
11916.2;224135.547179406;"12";75;"bm"
MISSING;664610.664995747;"10";65;"bm"
16743.3;706802.094487091;"11";55;"ky"
9620.9;222822.903491224;"13";45;"qt"
6959.6;783072.216229182;"12";45;"qt"
5571.9;659103.590253405;"11";75;"bm"
11564;392614.773746644;"10";75;"qt"
9523.7;400210.503284172;"12";45;"bm"
18475.7;712734.31561998;"10";55;"ky"
11074.5;313248.268650404;"9";75;"bm"
20564.6;187606.283837719;"18";75;"ky"
