"","name","takeTime","sysUser","sysName","sysTime","user","course_name","lesson_name","question_number","correct","attempt","datetime","skipped"
"1","abs",5,"vygantas","Linux",2016-08-19 18:56:37,"aaa","Google Forms Course","Lesson 1",2,TRUE,1,2016-08-19 18:56:21,TRUE
"2","abs",5,"vygantas","Linux",2016-08-19 18:56:37,"aaa","Google Forms Course","Lesson 1",3,TRUE,1,2016-08-19 18:56:25,FALSE
"3","abs",5,"vygantas","Linux",2016-08-19 18:56:37,"aaa","Google Forms Course","Lesson 1",4,NA,1,2016-08-19 18:56:27,NA
"4","aaa",5,"vygantas","Linux",2016-08-19 18:57:02,"aaa","Google Forms Course","Lesson 1",2,TRUE,1,2016-08-19 18:56:52,FALSE
"5","aaa",5,"vygantas","Linux",2016-08-19 18:57:02,"aaa","Google Forms Course","Lesson 1",3,TRUE,1,2016-08-19 18:56:53,FALSE
"6","aaa",5,"vygantas","Linux",2016-08-19 18:57:02,"aaa","Google Forms Course","Lesson 1",4,NA,1,2016-08-19 18:56:54,FALSE
"7","rytis",45,"vygantas","Linux",2016-08-27 22:41:46,"testas","Google Forms Course","Lesson 1",2,FALSE,1,2016-08-27 22:40:58,FALSE
"8","rytis",45,"vygantas","Linux",2016-08-27 22:41:46,"testas","Google Forms Course","Lesson 1",2,FALSE,2,2016-08-27 22:40:59,FALSE
"9","rytis",45,"vygantas","Linux",2016-08-27 22:41:46,"testas","Google Forms Course","Lesson 1",2,FALSE,3,2016-08-27 22:41:00,FALSE
"10","rytis",45,"vygantas","Linux",2016-08-27 22:41:46,"testas","Google Forms Course","Lesson 1",2,TRUE,4,2016-08-27 22:41:01,FALSE
"11","rytis",45,"vygantas","Linux",2016-08-27 22:41:46,"testas","Google Forms Course","Lesson 1",3,TRUE,1,2016-08-27 22:41:03,FALSE
"12","rytis",45,"vygantas","Linux",2016-08-27 22:41:46,"testas","Google Forms Course","Lesson 1",4,NA,1,2016-08-27 22:41:07,NA
"13","aaa",2,"vygantas","Linux",2016-08-28 00:13:18,"aaa","R Programming","Dummy Lesson",3,TRUE,1,2016-08-28 00:12:22,FALSE
"14","aaa",2,"vygantas","Linux",2016-08-28 00:13:18,"aaa","R Programming","Dummy Lesson",4,NA,1,2016-08-28 00:12:23,FALSE
"15","1vbutkus",1,"Katedra","Windows",2016-09-02 09:42:59,"1vbutkus","R Programming","Dummy Lesson",3,FALSE,1,2016-09-02 09:41:30,FALSE
"16","1vbutkus",1,"Katedra","Windows",2016-09-02 09:42:59,"1vbutkus","R Programming","Dummy Lesson",3,TRUE,2,2016-09-02 09:41:58,FALSE
"17","1vbutkus",1,"Katedra","Windows",2016-09-02 09:42:59,"1vbutkus","R Programming","Dummy Lesson",4,NA,1,2016-09-02 09:42:28,NA
"18","emru3000",1,"emru3068","Windows",2016-09-02 09:45:12,"emru3000","R Programming","Dummy Lesson",3,TRUE,1,2016-09-02 09:44:30,FALSE
